##--Author      JRM Annand   29th Apr 2003
##--Update      R Gregor...
##--Description
##                *** Acqu++ <-> Root ***
## Online/Offline Analysis of Sub-Atomic Physics Experimental Data
##
## Parameter File: TAPS_BaF2.dat
## Setup of decoding of BaF2 information
##
##-----------------------------------------------------------------------
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:  384    1       1       1
#RawHits:
#BitPattern: data/Dec_07/TAPS/TAPS.pat
#
#
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
Element: 26055  0.01 20. 85.6936	0.00649276    26355  -200.0  200.0 2993.1295  0.050  -51.961521  -24.000000  146.350000
Element: 26056  0.01 20. 85.9593	0.0129008     26356  -200.0  200.0 2961.7114  0.050  -57.157673   27.000000  146.350000
Element: 26057  0.01 20. 85.714	0.00788071     26357  -200.0  200.0 2938.7463  0.050  -57.157673   21.000000  146.350000
Element: 26058  0.01 20. 85.6162	0.00653385    26358  -200.0  200.0 2952.5331  0.050  -57.157673   15.000000  146.350000
Element: 26059  0.01 20. 85.5768	0.00625101    26359  -200.0  200.0 2970.0085  0.050  -57.157673    9.000000  146.350000
Element: 26060  0.01 20. 86.2157	0.00955436    26360  -200.0  200.0 2964.0479  0.050  -57.157673    3.000000  146.350000
Element: 26061  0.01 20. 84.9942	0.0106812     26361  -200.0  200.0 2946.2191  0.050  -57.157673   -3.000000  146.350000
Element: 26062  0.01 20. 86.9503	0.00613905    26362  -200.0  200.0 2936.3291  0.050  -57.157673   -9.000000  146.350000
Element: 26063  0.01 20. 85.5447	0.0131087     26363  -200.0  200.0 2941.8490  0.050  -57.157673  -15.000000  146.350000
Element: 26064  0.01 20. 85.5815	0.0128751     26364  -200.0  200.0 2985.9430  0.050  -57.157673  -21.000000  146.350000
Element: 26065  0.01 20. 86.3855	0.0219119     26365  -200.0  200.0 2985.1295  0.050   -5.196152   -3.000000  146.350000
Element: 26066  0.01 20. 86.1836	0.0145677     26366  -200.0  200.0 2889.7114  0.050  -10.392304   -6.000000  146.350000
Element: 26067  0.01 20. 85.5506	0.0112708     26367  -200.0  200.0 2990.7463  0.050   -5.196152   -9.000000  146.350000
Element: 26068  0.01 20. 84.6803	0.0107627     26368  -200.0  200.0 2972.5331  0.050  -15.588456   -9.000000  146.350000
Element: 26069  0.01 20. 85.8395	0.0110028     26369  -200.0  200.0 2986.0085  0.050  -10.392304  -12.000000  146.350000
Element: 26070  0.01 20. 85.9728	0.00956364    26370  -200.0  200.0 2976.0479  0.050   -5.196152  -15.000000  146.350000
Element: 26071  0.01 20. 94.3094	0.0118675     26371  -200.0  200.0 2982.2191  0.050  -20.784609  -12.000000  146.350000
